Survived,Pclass,SibSp,Parch,Fare,Title,FamilySize,C,Q,S,female,male,Age
0,2,0,0,13.0,0,1,0,0,1,0,1,0.34656948982156316
0,3,0,0,7.65,0,1,0,0,1,0,1,0.3088715757728072
0,3,0,0,7.8542,0,1,0,0,1,0,1,0.24604171902488062
0,3,0,4,21.075,0,5,0,0,1,1,0,0.35913546117114853
0,1,1,0,52.0,0,2,0,0,1,0,1,0.38426740387031916
0,3,2,0,7.925,0,3,0,0,1,0,1,0.4596632319678311
0,3,0,0,14.5,0,1,0,0,1,0,1,0.2334757476752953
1,3,0,2,15.7417,1,3,1,0,0,1,0,0.007288263382759488
0,3,0,0,7.25,0,1,0,0,1,0,1,0.2523247046996733
1,2,1,0,26.0,0,2,0,0,1,1,0,0.5224930887157577
0,2,0,0,13.0,0,1,0,0,1,0,1,0.3088715757728072
0,3,0,0,8.85,1,1,0,0,1,1,0,0.2963056044232219
1,2,1,2,65.0,0,4,0,0,1,1,0,0.5978889168132697
0,2,1,0,26.0,0,2,0,0,1,0,1,0.4596632319678311
0,3,0,0,7.75,0,1,0,1,0,0,1,0.3672039796007691
0,3,0,0,7.125,0,1,0,0,1,0,1,0.20834380497612465
0,1,0,2,211.5,0,3,1,0,0,0,1,0.33400351847197784
0,3,1,1,7.2292,0,3,1,0,0,0,1,0.20834380497612465
0,2,2,0,73.5,0,3,0,0,1,0,1,0.39683337521990447
1,1,1,0,90.0,0,2,0,0,1,0,1,0.4722292033174164
1,3,0,0,7.7875,1,1,0,1,0,1,0,0.3672039796007691
0,3,0,0,6.975,0,1,0,0,1,0,1,0.5601910027645137
1,2,1,0,26.0,0,2,0,0,1,0,1,0.39683337521990447
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3779844181955265
1,2,0,1,19.5,0,2,0,0,1,1,0,0.5099271173661725
0,2,0,0,13.0,0,1,0,0,1,0,1,0.5978889168132697
1,1,1,1,79.2,0,3,1,0,0,0,1,0.7486805730082936
1,1,2,0,133.65,3,3,0,0,1,0,1,0.6230208595124404
0,3,0,0,8.05,0,1,0,0,1,0,1,0.2963056044232219
0,3,0,0,14.4583,1,1,1,0,0,1,0,0.20834380497612465
0,3,0,0,8.05,0,1,0,0,1,0,1,0.2334757476752953
0,2,1,0,26.0,0,2,0,0,1,0,1,0.3088715757728072
0,1,0,0,221.7792,0,1,0,0,1,0,1,0.3672039796007691
0,1,0,0,26.55,3,1,0,0,1,0,1,0.5601910027645137
1,2,3,0,21.0,0,4,0,0,1,1,0,0.37170143252073384
0,1,0,0,27.7208,4,1,1,0,0,0,1,0.49736114601658704
0,2,1,0,21.0,0,2,0,0,1,0,1,0.4219653179190751
1,1,0,0,26.55,0,1,0,0,1,0,1,0.34656948982156316
0,3,0,0,7.4958,0,1,0,0,1,0,1,0.4470972606182458
1,2,1,2,41.5792,1,4,1,0,0,1,0,0.032420206081930136
1,2,0,0,13.0,1,1,0,0,1,1,0,0.49736114601658704
0,3,0,0,7.75,0,1,0,1,0,0,1,0.39683337521990447
0,2,1,0,26.0,0,2,0,0,1,0,1,0.4219653179190751
0,3,5,2,46.9,1,8,0,0,1,1,0,0.19577783362653933
0,3,0,1,8.4042,0,2,0,0,1,0,1,0.5224930887157577
1,1,0,0,110.8833,1,1,1,0,0,1,0,0.3672039796007691
0,3,0,0,7.7417,0,1,0,1,0,0,1,0.3088715757728072
0,3,4,1,39.6875,2,6,0,0,1,0,1,0.08268409148027142
0,2,0,0,10.5,3,1,0,0,1,0,1,0.2837396330736366
0,2,0,0,13.5,0,1,0,0,1,0,1,0.34656948982156316
0,1,0,0,50.0,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,8.05,0,1,0,0,1,0,1,0.6230208595124404
1,3,0,0,8.1125,0,1,0,0,1,0,1,0.3672039796007691
1,3,0,0,56.4958,0,1,0,0,1,0,1,0.39683337521990447
1,3,0,0,56.4958,0,1,0,0,1,0,1,0.39683337521990447
0,3,0,0,8.05,0,1,0,0,1,0,1,0.5476250314149284
0,1,0,0,30.6958,0,1,1,0,0,0,1,0.3672039796007691
0,3,0,0,7.75,0,1,0,1,0,0,1,0.8806232721789394
0,2,1,2,41.5792,0,4,1,0,0,0,1,0.3088715757728072
0,1,0,0,27.75,0,1,1,0,0,0,1,0.37170143252073384
1,1,1,0,66.6,0,2,0,0,1,1,0,0.2711736617240512
0,3,0,5,39.6875,0,6,0,0,1,1,0,0.5099271173661725
1,1,0,0,106.425,1,1,1,0,0,1,0,0.37170143252073384
1,2,0,0,10.5,1,1,0,0,1,1,0,0.33400351847197784
0,3,4,1,29.125,2,6,0,1,0,0,1,0.08268409148027142
0,3,0,0,7.8542,1,1,0,0,1,1,0,0.38426740387031916
0,3,0,0,9.8458,0,1,0,0,1,0,1,0.24604171902488062
0,2,0,0,13.0,3,1,0,0,1,0,1,0.33400351847197784
0,2,0,0,10.5,0,1,0,0,1,0,1,0.37170143252073384
1,1,0,0,25.9292,0,1,0,0,1,1,0,0.5978889168132697
0,3,1,0,16.1,0,2,0,0,1,1,0,0.32143754712239253
1,3,0,0,7.8792,1,1,0,1,0,1,0,0.2334757476752953
1,1,0,0,30.5,0,1,0,0,1,0,1,0.33400351847197784
1,2,0,0,12.65,0,1,0,0,1,1,0,0.34656948982156316
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.2334757476752953
0,3,0,0,7.225,0,1,1,0,0,0,1,0.49736114601658704
1,2,0,0,21.0,1,1,0,0,1,1,0,0.4345312892686604
0,1,0,0,27.7208,0,1,1,0,0,0,1,0.3672039796007691
1,3,0,0,7.8792,1,1,0,1,0,1,0,0.3672039796007691
1,3,0,0,7.8542,1,1,0,0,1,1,0,0.32143754712239253
0,3,0,0,8.05,1,1,0,0,1,1,0,0.3672039796007691
0,3,0,0,8.05,0,1,0,0,1,1,0,0.3672039796007691
1,2,1,1,14.5,2,3,0,0,1,0,1,0.003141492837396331
0,3,1,0,16.1,0,2,0,0,1,0,1,0.2963056044232219
0,3,0,0,6.95,0,1,0,1,0,0,1,0.3672039796007691
0,3,0,0,9.5,0,1,0,0,1,0,1,0.24604171902488062
0,3,0,0,7.8875,0,1,0,0,1,0,1,0.32143754712239253
1,1,0,2,71.0,1,3,0,0,1,1,0,0.4470972606182458
0,1,0,0,26.55,0,1,0,0,1,0,1,0.7738125157074642
0,3,0,0,7.05,0,1,0,0,1,0,1,0.3672039796007691
1,3,1,1,20.525,0,3,0,0,1,1,0,0.38426740387031916
1,1,0,1,211.3375,0,2,0,0,1,1,0,0.5350590600653431
1,1,0,0,227.525,1,1,1,0,0,1,0,0.4722292033174164
0,3,1,0,17.8,0,2,0,0,1,1,0,0.22090977632571
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,7.2292,0,1,1,0,0,0,1,0.3672039796007691
0,3,0,0,7.8958,0,1,1,0,0,0,1,0.4093993465694898
0,3,1,2,23.45,1,4,0,0,1,1,0,0.3672039796007691
1,1,1,0,146.5208,0,2,1,0,0,1,0,0.3672039796007691
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,7.75,0,1,0,1,0,0,1,0.3672039796007691
0,3,0,0,6.8583,0,1,0,1,0,0,1,0.3672039796007691
0,3,4,1,39.6875,2,6,0,0,1,0,1,0.01985423473234481
1,3,0,0,6.975,0,1,0,0,1,0,1,0.33400351847197784
0,3,0,0,7.225,0,1,1,0,0,0,1,0.37170143252073384
0,3,0,0,7.05,0,1,0,0,1,0,1,0.4722292033174164
0,3,0,0,7.8292,0,1,0,1,0,0,1,0.3672039796007691
